Clé	Biome_String	Nom_Complet		Biome	Terrain	Libellé	Emoji	Distribution	Altitude (m)	Temp.(ahpe)	Preci.(ahpe)	Vitesse_humaine_(kmh)	Vitesse_véhicule_route_non_carrossée_(kmh)	Franchissable	Carrossable	Solide	Limitrophes	Description
028	2️⃣ Steppe 🍂	8️⃣Falaise ou ravin⛰️	8️⃣	2	8	Falaise ou ravin	⛰️	5	400	(6°C,-10°C,8°C,18°C)	(15mm,9mm,20mm,12mm)	2	5	FALSE	FALSE	TRUE	2 (20%), 4 (15%), 5 (10%), 6 (20%), 7 (10%), 1 (10%), 3 (15%)	Relief abrupt servant de limite naturelle, pouvant renfermer grottes ou vestiges archéologiques.
031	3️⃣ Savane 🌾	1️⃣Plaine herbeuse tropicale🌿	1️⃣	3	1	Plaine herbeuse tropicale	🌿	25	180	(24°C,18°C,26°C,32°C)	(40mm,20mm,60mm,100mm)	5	20	TRUE	TRUE	TRUE	2 (20%), 4 (25%), 5 (10%), 7 (15%), 8 (10%), 3 (20%)	Étendue d’herbes hautes avec un sol relativement fertile, exploitable pour l’élevage et certaines cultures résistantes.
032	3️⃣ Savane 🌾	2️⃣Arbres dispersés / Bosquets🌳	2️⃣	3	2	Arbres dispersés / Bosquets	🌳	15	200	(25°C,18°C,27°C,33°C)	(45mm,25mm,65mm,110mm)	4	15	TRUE	TRUE	TRUE	1 (20%), 3 (15%), 4 (15%), 5 (10%), 6 (10%), 7 (15%), 8 (15%)	Groupes d’arbres typiques de la savane comme les baobabs ou acacias, offrant de l’ombre et attirant la faune locale.
033	3️⃣ Savane 🌾	3️⃣Terre rouge aride🏜️	3️⃣	3	3	Terre rouge aride	🏜️	10	170	(26°C,19°C,28°C,35°C)	(30mm,15mm,45mm,80mm)	4	10	TRUE	TRUE	TRUE	1 (15%), 2 (15%), 7 (20%), 8 (10%), 4 (10%), 6 (15%), 5 (10%)	Sol sec et riche en fer mais peu fertile, fréquent aux abords des zones désertiques.
034	3️⃣ Savane 🌾	4️⃣Rivière de savane💧	4️⃣	3	4	Rivière de savane	💧	15	150	(25°C,18°C,27°C,34°C)	(50mm,30mm,70mm,120mm)	3	8	TRUE	FALSE	FALSE	1 (25%), 2 (15%), 5 (20%), 6 (10%), 7 (10%), 8 (10%), 3 (10%)	Source d’eau essentielle souvent saisonnière, attirant la faune et favorisant une végétation plus luxuriante.
035	3️⃣ Savane 🌾	5️⃣Marécage saisonnier🛖💦	5️⃣	3	5	Marécage saisonnier	🛖💦	10	140	(24°C,17°C,26°C,33°C)	(60mm,40mm,80mm,130mm)	3	5	TRUE	FALSE	FALSE	1 (10%), 2 (10%), 4 (20%), 6 (20%), 7 (15%), 8 (10%), 3 (15%)	Zone basse où l’eau s’accumule en saison des pluies, pouvant temporairement former un petit lac et attirer de nombreuses espèces.
036	3️⃣ Savane 🌾	6️⃣Termitière géante🐜	6️⃣	3	6	Termitière géante	🐜	5	160	(25°C,18°C,27°C,33°C)	(35mm,25mm,50mm,90mm)	4	12	TRUE	TRUE	TRUE	2 (10%), 3 (15%), 4 (10%), 5 (20%), 7 (15%), 1 (15%), 8 (15%)	Formation naturelle abritant une biodiversité spécifique, parfois réutilisée par d’autres animaux comme refuge.
037	3️⃣ Savane 🌾	7️⃣Collines de savane⛰️🌾	7️⃣	3	7	Collines de savane	⛰️🌾	10	220	(23°C,16°C,25°C,31°C)	(40mm,25mm,55mm,95mm)	4	15	TRUE	TRUE	TRUE	1 (15%), 2 (15%), 3 (20%), 4 (10%), 5 (15%), 6 (15%), 8 (10%)	Zones légèrement surélevées avec une vue dégagée, pouvant receler grottes ou sites archéologiques.
038	3️⃣ Savane 🌾	8️⃣Sol rocailleux🪨	8️⃣	3	8	Sol rocailleux	🪨	10	230	(24°C,17°C,26°C,32°C)	(35mm,20mm,40mm,85mm)	3	8	TRUE	TRUE	TRUE	1 (10%), 2 (15%), 3 (10%), 4 (10%), 5 (10%), 6 (15%), 7 (15%)	Zones de cailloux et de roche dure, souvent improductives, mais pouvant contenir des ressources minérales.
041	4️⃣ Forêt tempérée 🌳	1️⃣Forêt dense🌲🌳	1️⃣	4	1	Forêt dense	🌲🌳	20	200	(10°C,-2°C,13°C,22°C)	(70mm,50mm,80mm,80mm)	3	10	TRUE	FALSE	TRUE	2 (15%), 3 (15%), 4 (20%), 5 (20%), 6 (10%), 7 (10%), 8 (10%)	Grande concentration d’arbres feuillus et conifères, avec d’importantes ressources en bois, mais un terrain difficile à exploiter
042	4️⃣ Forêt tempérée 🌳	2️⃣Forêt clairsemée🌳🍂	2️⃣	4	2	Forêt clairsemée	🌳🍂	15	180	(9°C,-3°C,12°C,21°C)	(60mm,40mm,75mm,70mm)	4	12	TRUE	FALSE	TRUE	1 (15%), 3 (15%), 4 (10%), 5 (15%), 6 (10%), 7 (10%), 8 (10%)	Espaces boisés avec des clairières, formant la transition entre la forêt dense et d’autres terrains
043	4️⃣ Forêt tempérée 🌳	3️⃣Plaine fertile🌿	3️⃣	4	3	Plaine fertile	🌿	15	150	(11°C,0°C,14°C,24°C)	(55mm,30mm,70mm,65mm)	5	20	TRUE	TRUE	TRUE	1 (10%), 2 (15%), 4 (10%), 5 (20%), 6 (15%), 7 (10%), 8 (10%)	Sol riche et propice à l’agriculture, fréquent en bordure de forêt ou le long des rivières
044	4️⃣ Forêt tempérée 🌳	4️⃣Colline boisée⛰️🌳	4️⃣	4	4	Colline boisée	⛰️🌳	10	300	(8°C,-4°C,11°C,20°C)	(65mm,45mm,85mm,80mm)	3	10	TRUE	FALSE	TRUE	1 (20%), 2 (10%), 3 (10%), 5 (5%), 6 (10%), 7 (15%), 8 (20%)	Relief couvert d’arbres, plus difficile à exploiter, pouvant renfermer des grottes ou des ressources minérales
045	4️⃣ Forêt tempérée 🌳	5️⃣Rivière forestière💧	5️⃣	4	5	Rivière forestière	💧	15	100	(10°C,-1°C,13°C,23°C)	(75mm,55mm,90mm,85mm)	4	8	TRUE	FALSE	FALSE	1 (10%), 2 (15%), 3 (20%), 4 (5%), 6 (20%), 7 (10%), 8 (10%)	Source d’eau essentielle pour la biodiversité, navigable par de petites embarcations et riche en poissons
046	4️⃣ Forêt tempérée 🌳	6️⃣Marécage forestier🛖💦	6️⃣	4	6	Marécage forestier	🛖💦	10	120	(11°C,0°C,14°C,25°C)	(80mm,60mm,95mm,90mm)	2	5	TRUE	FALSE	FALSE	1 (10%), 2 (10%), 3 (15%), 4 (10%), 5 (20%), 7 (15%), 8 (20%)	Zone humide avec des arbres adaptés, traversée difficile mais abritant une faune et une flore variées
047	4️⃣ Forêt tempérée 🌳	7️⃣Lac forestier🌊	7️⃣	4	7	Lac forestier	🌊	10	110	(10°C,-1°C,13°C,23°C)	(70mm,50mm,85mm,80mm)	3	8	TRUE	FALSE	FALSE	1 (15%), 2 (10%), 3 (10%), 4 (10%), 5 (10%), 6 (15%), 8 (15%)	Étendue d’eau calme entourée d’arbres, pouvant servir de réserve d’eau et de refuge pour la faune
048	4️⃣ Forêt tempérée 🌳	8️⃣Sol rocailleux🪨	8️⃣	4	8	Sol rocailleux	🪨	5	220	(9°C,-3°C,12°C,20°C)	(60mm,40mm,70mm,60mm)	4	12	TRUE	FALSE	TRUE	1 (10%), 2 (10%), 3 (10%), 4 (20%), 5 (10%), 6 (15%), 7 (10%)	Zone de pierre et de roches apparentes, parfois riche en gisements de pierre ou de minerais
051	5️⃣ Plaine fertile 🌿	1️⃣Prairie fertile🌾	1️⃣	5	1	Prairie fertile	🌾	25	120	(13°C,2°C,16°C,25°C)	(50mm,30mm,60mm,65mm)	5	20	TRUE	TRUE	TRUE	2 (15%),3 (15%),4 (15%),5 (15%),6 (15%),7 (15%),8 (10%)	Étendue d’herbes basses avec un sol très fertile, idéale pour l’agriculture et l’élevage.
052	5️⃣ Plaine fertile 🌿	2️⃣Champ cultivé🌽	2️⃣	5	2	Champ cultivé	🌽	15	110	(14°C,1°C,17°C,26°C)	(55mm,35mm,70mm,75mm)	5	15	TRUE	TRUE	TRUE	1 (20%),3 (15%),4 (20%),5 (10%),6 (15%),7 (10%),8 (10%)	Zones exploitées pour différentes cultures (céréales, légumes), la production variant selon la saison et les techniques utilisées.
053	5️⃣ Plaine fertile 🌿	3️⃣Colline herbeuse⛰️🌿	3️⃣	5	3	Colline herbeuse	⛰️🌿	10	150	(12°C,-1°C,15°C,23°C)	(45mm,25mm,55mm,60mm)	4	12	TRUE	TRUE	TRUE	1 (15%),2 (15%),4 (10%),6 (20%),7 (20%),8 (20%)	Relief modéré recouvert d’herbes et de buissons, apportant de la diversité et pouvant servir à l’élevage.
054	5️⃣ Plaine fertile 🌿	4️⃣Rivière de plaine💧	4️⃣	5	4	Rivière de plaine	💧	15	90	(13°C,1°C,16°C,25°C)	(60mm,40mm,80mm,85mm)	3	8	TRUE	FALSE	FALSE	1 (15%),2 (15%),3 (10%),5 (20%),6 (10%),7 (15%),8 (15%)	Source d’eau cruciale pour l’irrigation et la vie locale, pouvant contenir des poissons et favoriser la biodiversité.
055	5️⃣ Plaine fertile 🌿	5️⃣Lac de plaine🌊	5️⃣	5	5	Lac de plaine	🌊	10	80	(12°C,0°C,15°C,24°C)	(55mm,35mm,75mm,80mm)	2	5	FALSE	FALSE	FALSE	1 (15%),2 (15%),4 (20%),6 (15%),7 (20%),8 (15%)	Grande étendue d’eau douce, entourée de végétation, servant de ressource en eau et de lieu de pêche.
056	5️⃣ Plaine fertile 🌿	6️⃣Bois clairsemé🌳	6️⃣	5	6	Bois clairsemé	🌳	10	100	(11°C,-1°C,14°C,22°C)	(48mm,28mm,65mm,70mm)	4	12	TRUE	TRUE	TRUE	1 (15%),2 (15%),3 (15%),4 (10%),5 (10%),7 (15%),8 (20%)	Petits bosquets et arbres épars, marquant la transition entre la plaine fertile et des zones plus forestières.
057	5️⃣ Plaine fertile 🌿	7️⃣Marais de plaine🛖💦	7️⃣	5	7	Marais de plaine	🛖💦	10	90	(13°C,1°C,16°C,25°C)	(65mm,45mm,85mm,90mm)	3	8	TRUE	FALSE	FALSE	1 (10%),2 (10%),3 (10%),4 (15%),5 (15%),6 (15%),8 (25%)	Zone humide proche d’un cours d’eau ou d’un lac, riche en biodiversité mais difficile à exploiter.
058	5️⃣ Plaine fertile 🌿	8️⃣Sol rocailleux🪨	8️⃣	5	8	Sol rocailleux	🪨	5	140	(11°C,-2°C,14°C,22°C)	(40mm,20mm,50mm,55mm)	4	12	TRUE	TRUE	TRUE	1 (15%),2 (10%),3 (20%),4 (15%),5 (10%),6 (15%),7 (15%)	Terrain parsemé de pierres et de cailloux, pouvant receler des ressources minières ou des vestiges archéologiques.
061	6️⃣ Marais 🛖	1️⃣Eau stagnante💦	1️⃣	6	1	Eau stagnante	💦	20	10	(14°C,5°C,16°C,26°C)	(80mm,50mm,90mm,100mm)	1	0	TRUE	FALSE	FALSE	2 (30%), 7 (25%), 6 (20%), 5 (15%), 3 (10%)	Étendue d’eau peu profonde et souvent trouble, abritant poissons et plantes aquatiques, berges boueuses et glissantes, nécessite un traitement avant consommation
062	6️⃣ Marais 🛖	2️⃣Tourbière🌿💧	2️⃣	6	2	Tourbière	🌿💧	15	15	(13°C,3°C,15°C,25°C)	(85mm,55mm,95mm,110mm)	1	0	FALSE	FALSE	FALSE	1 (30%), 3 (20%), 7 (20%), 8 (15%), 4 (15%)	Sol saturé en eau avec mousse et végétation flottante, difficilement praticable, peut stocker du carbone et recèle parfois des ressources
063	6️⃣ Marais 🛖	3️⃣Marécage boisé🌳💦	3️⃣	6	3	Marécage boisé	🌳💦	15	12	(14°C,2°C,16°C,24°C)	(90mm,60mm,100mm,120mm)	2	0	TRUE	FALSE	FALSE	1 (20%), 2 (20%), 8 (25%), 6 (15%), 7 (20%)	Zone humide avec arbres adaptés, offrant un habitat à de nombreux animaux mais rendant la progression difficile
064	6️⃣ Marais 🛖	4️⃣Îlot herbeux🌱	4️⃣	6	4	Îlot herbeux	🌱	5	10	(15°C,4°C,17°C,27°C)	(70mm,45mm,80mm,90mm)	2	0	TRUE	FALSE	TRUE	1 (20%), 5 (25%), 6 (30%), 7 (25%)	Petite zone de terre émergée au milieu du marais, souvent instable, pouvant servir de refuge temporaire pour la faune
065	6️⃣ Marais 🛖	5️⃣Plaine inondable🌊🌾	5️⃣	6	5	Plaine inondable	🌊🌾	10	8	(14°C,3°C,16°C,25°C)	(75mm,50mm,85mm,95mm)	3	5	TRUE	TRUE	TRUE	4 (20%), 6 (25%), 7 (25%), 3 (30%)	Zone basse pouvant se remplir d’eau lors des crues, riche en nutriments, formant une transition vers des milieux plus secs
066	6️⃣ Marais 🛖	6️⃣Lit de rivière marécageux💧🌾	6️⃣	6	6	Lit de rivière marécageux	💧🌾	10	6	(13°C,2°C,15°C,24°C)	(85mm,60mm,95mm,110mm)	2	0	TRUE	FALSE	FALSE	1 (15%), 2 (10%), 3 (15%), 4 (10%), 5 (15%), 7 (15%), 8 (20%)	Rivière lente traversant le marais, abritant une faune aquatique variée et favorisant la construction de villages sur pilotis
067	6️⃣ Marais 🛖	7️⃣Sol boueux🏞️	7️⃣	6	7	Sol boueux	🏞️	10	9	(15°C,3°C,17°C,26°C)	(88mm,58mm,98mm,115mm)	2	0	TRUE	FALSE	TRUE	1 (15%), 2 (15%), 3 (20%), 5 (15%), 6 (15%), 8 (20%)	Terrain glissant et chargé en matières organiques, rendant la progression lente et fatigante, mais recélant parfois des ressources
068	6️⃣ Marais 🛖	8️⃣Forêt marécageuse🌳🛖	8️⃣	6	8	Forêt marécageuse	🌳🛖	15	14	(13°C,1°C,15°C,24°C)	(95mm,65mm,105mm,125mm)	2	0	TRUE	FALSE	FALSE	2 (20%), 3 (25%), 6 (20%), 7 (10%), 4 (10%), 5 (15%)	Zone de transition entre le marais et une forêt dense, avec des arbres adaptés à l’humidité et une biodiversité riche
071	7️⃣ Littoral tempéré 🌊🌳	1️⃣Plage de sable🏖️	1️⃣	7	1	Plage de sable	🏖️	20	5	(14°C,5°C,16°C,23°C)	(55mm,40mm,60mm,50mm)	5	15	TRUE	TRUE	TRUE	2(20%),3(15%),8(15%),4(10%),5(10%),6(10%),7(20%)	Étendue de sable fin exposée aux marées, abritant coquillages et dunes côtières, facilement praticable mais subissant l’érosion
072	7️⃣ Littoral tempéré 🌊🌳	2️⃣Côte rocheuse🪨🌊	2️⃣	7	2	Côte rocheuse	🪨🌊	15	20	(13°C,4°C,15°C,21°C)	(65mm,50mm,75mm,60mm)	3	10	TRUE	FALSE	TRUE	1(20%),3(10%),4(15%),8(15%),5(10%),6(15%),7(15%)	Falaises abruptes et rochers battus par les vagues, plus difficiles à exploiter mais pouvant renfermer des grottes marines
073	7️⃣ Littoral tempéré 🌊🌳	3️⃣Prairie côtière🌿	3️⃣	7	3	Prairie côtière	🌿	15	15	(14°C,3°C,16°C,22°C)	(60mm,45mm,70mm,55mm)	4	20	TRUE	TRUE	TRUE	1(15%),2(10%),4(15%),5(10%),6(15%),7(20%),8(15%)	Zone herbeuse proche du littoral, utilisée pour l’élevage ou l’agriculture, formant une transition avec l’intérieur des terres
074	7️⃣ Littoral tempéré 🌊🌳	4️⃣Forêt côtière🌳	4️⃣	7	4	Forêt côtière	🌳	10	25	(13°C,2°C,15°C,21°C)	(65mm,55mm,75mm,60mm)	3	12	TRUE	FALSE	TRUE	1(10%),2(15%),3(15%),5(15%),6(10%),7(10%),8(25%)	Végétation adaptée aux vents marins, comme pins et chênes verts, pouvant abriter une faune spécifique au littoral
075	7️⃣ Littoral tempéré 🌊🌳	5️⃣Marais salant🛖💦	5️⃣	7	5	Marais salant	🛖💦	10	2	(15°C,5°C,17°C,24°C)	(70mm,60mm,80mm,65mm)	2	5	TRUE	FALSE	FALSE	1(10%),2(10%),3(10%),4(15%),6(20%),7(15%),8(20%)	Zone de faible altitude où l’eau salée s’accumule pour la production de sel ou la préservation d’une biodiversité typique des milieux humides
076	7️⃣ Littoral tempéré 🌊🌳	6️⃣Estuaire💧	6️⃣	7	6	Estuaire	💧	10	0	(14°C,4°C,16°C,23°C)	(75mm,60mm,85mm,70mm)	3	8	TRUE	FALSE	FALSE	1(10%),2(15%),3(15%),4(10%),5(20%),7(10%),8(20%)	Embouchure de rivière mêlant eau douce et eau salée, riche en biodiversité et propice à la pêche, reliant le fleuve à l’océan
077	7️⃣ Littoral tempéré 🌊🌳	7️⃣Lagune🌊🦀	7️⃣	7	7	Lagune	🌊🦀	10	3	(15°C,5°C,17°C,24°C)	(65mm,50mm,75mm,60mm)	2	5	TRUE	FALSE	FALSE	1(20%),2(15%),3(20%),5(15%),6(10%),8(20%)	Étendue d’eau peu profonde séparée de la mer par une bande de terre, abritant de nombreuses espèces aquatiques et des zones humides
078	7️⃣ Littoral tempéré 🌊🌳	8️⃣Dune côtière⏳	8️⃣	7	8	Dune côtière	⏳	10	10	(14°C,4°C,16°C,22°C)	(50mm,40mm,55mm,45mm)	4	15	TRUE	FALSE	TRUE	1(15%),2(15%),3(15%),4(25%),5(10%),6(10%),7(10%)	Buttes de sable façonnées par le vent, protégeant l’intérieur des terres de l’érosion marine et recouvertes d’une végétation stabilisante
081	8️⃣ Forêt boréale 🌲	1️⃣Forêt de conifères dense🌲🌲	1️⃣	8	1	Forêt de conifères dense	🌲🌲	25	200	(6°C,-10°C,4°C,17°C)	(45mm,25mm,40mm,60mm)	2	8	TRUE	FALSE	TRUE	2(15%),3(10%),4(20%),5(10%),6(5%),7(15%),8(25%)	Grande concentration de sapins, pins et épicéas, offrant d’abondantes ressources en bois, mais un accès difficile en raison de la végétation dense
082	8️⃣ Forêt boréale 🌲	2️⃣Forêt clairsemée🌲🍂	2️⃣	8	2	Forêt clairsemée	🌲🍂	15	180	(5°C,-12°C,3°C,16°C)	(40mm,20mm,35mm,55mm)	3	12	TRUE	FALSE	TRUE	1(15%),3(15%),4(10%),5(10%),6(5%),7(10%),8(10%)	Zones où la végétation est plus espacée, formant des clairières et servant de transition vers d’autres terrains
083	8️⃣ Forêt boréale 🌲	3️⃣Toundra forestière❄️🌿	3️⃣	8	3	Toundra forestière	❄️🌿	10	150	(2°C,-15°C,2°C,14°C)	(30mm,15mm,25mm,45mm)	3	10	TRUE	FALSE	TRUE	1(10%),2(15%),4(15%),5(10%),6(10%),7(20%),8(20%)	Zone où la végétation s’abaisse et le sol gèle partiellement, marquant la transition vers la toundra avec lichens et mousses
084	8️⃣ Forêt boréale 🌲	4️⃣Colline boisée⛰️🌲	4️⃣	8	4	Colline boisée	⛰️🌲	15	300	(4°C,-13°C,3°C,15°C)	(35mm,20mm,30mm,50mm)	2	8	TRUE	FALSE	TRUE	1(20%),2(10%),3(15%),5(5%),6(5%),7(15%),8(30%)	Relief couvert de conifères, ajoutant de la diversité au biome et recélant parfois des grottes ou des ressources minérales
085	8️⃣ Forêt boréale 🌲	5️⃣Rivière boréale💧❄️	5️⃣	8	5	Rivière boréale	💧❄️	10	100	(5°C,-11°C,4°C,16°C)	(50mm,30mm,45mm,65mm)	3	5	TRUE	FALSE	FALSE	1(10%),2(10%),3(10%),4(5%),6(20%),7(20%),8(25%)	Cours d’eau froid souvent gelé en hiver, essentiel pour la faune et la flore, mais non carrossable pour un véhicule à roues
086	8️⃣ Forêt boréale 🌲	6️⃣Lac boréal🌊❄️	6️⃣	8	6	Lac boréal	🌊❄️	10	110	(5°C,-10°C,3°C,15°C)	(48mm,28mm,40mm,60mm)	2	4	FALSE	FALSE	FALSE	1(5%),2(5%),3(10%),4(5%),5(20%),7(25%),8(30%)	Étendue d’eau douce entourée de conifères, susceptible de geler en hiver et pouvant alors servir de passage temporaire
087	8️⃣ Forêt boréale 🌲	7️⃣Marécage boréal🛖💦	7️⃣	8	7	Marécage boréal	🛖💦	10	120	(4°C,-12°C,2°C,14°C)	(55mm,35mm,50mm,70mm)	2	5	TRUE	FALSE	FALSE	1(15%),2(10%),3(20%),4(15%),5(20%),6(25%),8(15%)	Zone humide et tourbeuse, riche en biodiversité mais difficile d’accès, souvent infestée d’insectes et moustiques
088	8️⃣ Forêt boréale 🌲	8️⃣Sol rocailleux🪨❄️	8️⃣	8	8	Sol rocailleux	🪨❄️	5	250	(3°C,-14°C,2°C,14°C)	(35mm,20mm,30mm,45mm)	3	10	TRUE	FALSE	TRUE	1(25%),2(10%),3(20%),4(30%),5(5%),6(5%),7(5%)	Terrain parsemé de rochers et de sols gelés, pouvant receler du minerai et formant une transition vers des zones plus montagneuses
091	9️⃣ Toundra ❄️	1️⃣Plaine de toundra🌿❄️	1️⃣	9	1	Plaine de toundra	🌿❄️	20	80	(2°C,-15°C,3°C,10°C)	(25mm,10mm,30mm,35mm)	3	8	TRUE	FALSE	TRUE	2(15%),3(10%),4(20%),6(15%),7(20%),8(20%),5(0%)	Étendue de mousses, lichens et herbes basses adaptées au froid, avec un sol gelé en profondeur et difficile à cultiver
092	9️⃣ Toundra ❄️	2️⃣Colline de toundra⛰️❄️	2️⃣	9	2	Colline de toundra	⛰️❄️	15	120	(1°C,-17°C,2°C,9°C)	(20mm,10mm,25mm,30mm)	2	6	TRUE	FALSE	TRUE	1(15%),3(15%),4(15%),5(10%),6(10%),7(20%),8(15%)	Relief modéré recouvert de végétation basse, pouvant receler cavités naturelles ou vestiges de pergélisol ancien
